Comments
"Apakah diantara mereka ada yg berpidato tentang hukum mati koruptor?
*Serius nanya*"
"ANTARA ANIS ATAU PRABOWO AJA DEH, BUKAN DARI YG MERAH"
"Kalo bener 4 capres bakal maju, rakyat indonesia bakal banjir cuan saat masa pemilu😂"
"selama mak banteng masih mentereng, susah buat yang laen."
Presiden harus orang Jawa asli ganjar pranowo orang Jawa bukan orang keturunan
"Siapa aja boleh jadi presiden asal bukan salah satu dari kalangan berikut:
- non-pribumi
- produk orde baru
- kalangan militer
- pro-khilafah
- pelanggar HAM

Selebihnya siapa aja boleh!"
mau 100 capres kek Anis tetap pilihanku
Yg penting orang pribumi
"Mana nih UAS PRESIDEN, HRD WAPRES"
"Insyaallah kami sekeluarga besar pilih Anies Rasyid Baswedan. 
Amanah, cerdas dan berani."
Sayangnya p.ganjar adalah petugas partai PDIP.
Semoga pdip gatot
"pokoknya jangan lihat partai ,lihatlah orangnya ,bersih kerja keras ,tidak punya kasus , baik kasus Kadrun kasus jam kasus korupsi dan kasus grup teroris ,biar negara utuh tidak keropos kaya timur tengah ,Yaman Turki Afganistan , sehat selalu man Ganjar ,manstaaaaaabbb!!"
Ayo partai mana yg mau ahok.... Auto jadi thu.... Semoga...
Mending langsunh di tunjuk aja.. Percuma lawan si culas... Istqna aja jadi posko pemenangan
Anti Banteng
"Klu 3 capres udah pasti 
Klu 4 masih ragu
Kan hrs sesuai ketentuan dan suara parpol di senayan dan suara parpol di pemilu sebelum nya"
"Torang PRABOWO. Sangat jelas sekali dengan kontribusi bapak. Indonesia Maju, Indonesia Kuat💪🏻💪🏻💪🏻"
Pdip anjir jgn smpe partai ini berkuasa lagi 🫣
"Menurut gue yang penting bukan yang mabok agama, NAJIS banget menang modal se agama"
"Padahal ma banteng nggak butuh suara umat islam tapi ppp merapat ke PDIP kalau nggak merapat PDIP takut di tangkap kpk, makanya jadi pejabat jangan kebanyakan korupsi sama nonton video bokep."
"Kalo gak ganjar yah prabowo lah, yg lain cuman tim hore2"
"PPP-Golkar-PAN
Prof Mahfud MD-Erik Tohir 👍
Presiden  dan wakil Presiden 2024--2029 👍"
"yg penting jgn milih anis
Gagal di jakarta jgn sampe terulang"
Kakbah ini aneeh banget ya ? Hati2 PPP bakal jadi PDP3
"PRESIDEN 2024 🇮🇩🇮🇩🇮🇩

PERMAINAN BERPIKIR MANUSIA BIASA!!!

  Jika saya bakal calon presiden memiliki banyak dukungan dari penguasa negeri ini (harta kekayaannya yang banyak) dan bantuan dana dari penguasa negara lain. Apalagi sudah pasti semua lembaga lainnya termasuk lembaga survey menginginkan keuntungan besar dan sudah pasti juga tidak ada lembaga-lembaga lainnya termasuk lembaga survey ingin rugi.

Apa yang harus saya dan tim saya lakukan untuk lembaga-lembaga lain  termasuk lembaga survey supaya poin suara saya bisa dominan dari bakal calon presiden lainnya??!!!


NOTE : Mari CERDAS dan BIJAKSANA dalam memilih Presiden. Ingat Masa Kerja Presiden itu 5 tahun ke depan berarti yang menentukan MASA DEPAN (RAKYAT (KITA SEMUA TERMASUK ANAK dan CUCU KITA)) Bangsa dan Negeri ini 5 tahun ke depan.!!!!"
"Dukung doa'in aja yg terbaik untuk indonesia soalNya menyangkut hajat orang banyak, mau capres A, B, C, yg penting dia amanah,! Kriteria capres:berprestasi,Tidak korupsi, tidak main suap/sogok,kebijakanNya pro Rakyat, tidak suka nonton bkp, Tidak politik pembodohan publik misal:bagi2 sembako, bagi2 amplop, Jangan sampai gara2 sembako n amplop yg cuma segitu doang,! Kepala kita di injak selama5 tahun. Jika kriteria diatas ada pada salah satu capres,! maka kita wajib dukung beliau.🙏🙏🙏"
"the next Jokowi, Ganjar Pranowo 2024"
"Rekam jejak wowo.... jadi Letjen ABRI di jaman Suharto.... menginisiasi bintang lima dan menjadikan Jenderal Besar Suharto.... wowo jadi pilar bertahannya kepemimpinan Suharto.... sampai akhirnya melakukan blunder dan kemudian dipecat dari ABRI.... kemudian bikin partai yang kental dengan wowo sentris.... menciptakan loyalis-loyalis bayaran.... ""wowo sentris"" itu kuncinya.... itu karakter kepemimpinan wowo.... selalu menekankan bahwa konstitusi UUD '45 adalah corak semi sosialis seperti tercantum dalam pasal 33 ayat 2..... dan itulah yang diterapkan oleh Suharto juga..... ""mengantongi"" konglomerat 
yang menguasai cabang-cabang perekonomian di Indonesia.....sehingga dapat menekan harga  jual barang-barang kebutuhan rakyat......tapi tentunya dengan kompensasi konglomerat tersebut dapat memperoleh kredit bank seperti BLBI.... terlihat ""semi sosialis"" akan berbenturan dengan ""demokrasi""..... semi sosialis beriring dengan wowo sentris.... itu gambaran karakter kepemimpinan wowo... demokrasi akan ditelikung oleh wowo sentris"
"SAYA PILIH CAPRES GA LIHAT PARPOLNYA, TPI LIHAT ORANGNYA JEJEK REKAMNYA GAYA  KEPMIMINNYA, DULU SAYA PILIH JOKOWI GA LIHAT PARPOLNYA, ANDAIKAN DULU KLO JOKOWI BUKAN CAPRES DARI PARPOL PDI P, TETEP SAYA PILIH JOKOWI"
"Bagus....biarkan rakyat memilih dengan hatinurani nya masing2 
Kalau banyak pilihan itu lebih bagus bukan terpaksa karna tak ada pilihan"
Kok gak ada Ahok
"Pak Ganjar dan prabowo kalo di adu membuatku bingung pilih yang mana 😢😢😢
Kalo pilih ganjar karna PDI p & Bu Mega 😍
Kalo pilih prabowo hati kecilku simpati sama beliau sejak 2019 di gandeng Bu Mega, dan 2014 malah di adu sama pak Jokowi 😢"
"sy sekeluarga pilih pak Anies, karena beliau cerdas, amanah, berpendidikan, sopan, berwibawa, santun."
ANIES PILIHAN KU
Kita semua adalah presiden jangan ambil pusing lur...😂
Gpp banyak capres.. Siapa tau nanti jadi menteri.. Eeeeeh
"Kurang banyak..
Kalau g pakai trace hold, bisa lebih banyak. Lebih banyak opsi lebih baik."
"Atas dukungan yang dpt kami pantau didesa selama ini kalau kalau pak Ganjar pasangan dengan pak Erik  Tidur,  maka semua pendamping Desa akan mengajak semua masyarakat Yg terima bantuan akan bergabung semuanya memilih PDIP untuk  menangkan pak Ganjar pasangan GENTAR"
PAK ANIES DONG❤
Pilih capres yg sudah mempunyai prestasi merubah  wilayahnya jangan pilih yang suka duduk enak jarang turun ke masyarakat dan badannya berisi
mugo2 sek dadi pak Prabowo alfatihah
"Kita pilih capres yang berani nembak sejuta per kepala wakwkwk,  selesai calon langsung korupsi besar-besaran."
Ganjar pranowo akan jadi presiden Palestina
"Ganjar petugas partai ,bukan real untuk rakyat ...."
Mantan itu baru kren.
Strategi karna udh psti mnang banteng merah dan nmbhin  enemy nmbh opsi buat mecah suara buat menangin bang abas
"Kalo dari fisik Ganjar Pranowo paling keren, Tinggi + rambut putih layaknya Joy Biden coy 😂, 
Tapi Partai nya Waduh 🗿."
Saya pilih prabowo
"Anis GK usah di libatkan,memangnya Anis itu bisa apa,selain ngeles, pintar ngomong kerja GK becus,ngrampok uang Rakyat, Anis itu komplotan perampok uang pajak rakyat."
kenapa pk prabowo ga duwet saja sama pk anies.
"semoga yg terpilih afalah presiden pembela umat dan berkasih kpd rakyat kecil
sidiq
amanah
fatonah
amin yra❤❤❤❤"
P3 dan Hanura dah Merapat ke Pdi Perjuangan
"Kenapa ya capres2 nya itu2 aja... apa gak ada yg minat lg selain yg dari orang2 tsb??? Bosen pastinya gak bakal ada perubahan apa2...
Peminat banyak kali ya? cuma pastinya banyak penyebabnya :
1. Perlu dana gede
2. Gak mau berpolitik krn udah tau kondisi dunia politik kita
3. Tantangan berat ngadepin orang2 yg selama ini menjabat...
🤣🤣🤣🤣🤣"
"Sembarang, seng penting GLORY GLORY GANJAR PRESIDEN"
Saya tidak memilih Ganjar penghalang tuan rumahll pildun
"Ya tapi kalau calon kualitas  seperti Anis? Ya percuma ,habisin anggaran saja,yg di untungkan ya parpol lagi,kebagian cuan.
Dr pemerintah dapat,dari bohir dapat.🤔"
"intinya jangan PiLiH Dari banteng merah jika ga mau hidup lo sengsara....
Tenggelamkan PDIP...!😎"
Seharusnya cukup dua pasang capres wapres sehingga hanya ada satu putaran dan tidak membutuhkan biaya yang banyak masyarakat di putaran kedua pasti kurang antusias
Tgb calon presiden 2024
Anies gw🇮🇩👍
Tetap anies di hatiku ❤
"Saya sih dukung Anies Baswedan
Tapi saya respacht pada calon yang lain yang penting konsisten demi kemajuan INDONESIA👍🇮🇩🇮🇩🇮🇩

Semoga saya gak di serang heett..."
